name,,year,seller_type,owner,km_driven,ex_showroom_price,selling_price
Bajaj Pulsar 150,,2007,Individual,1st owner,100000,,21000
Hero HF Deluxe,,2018,Individual,1st owner,16000,,40000
Honda Activa [2000-2015],,2007,Individual,1st owner,17860,50267,25000
Yamaha FZ S [2012-2016],,2015,Individual,1st owner,24000,79432,45000
Bajaj Avenger Cruise 220,,2016,Individual,1st owner,10950,,75000
Honda Dio,,2017,Individual,1st owner,35850,,45000
Honda Activa i [2016-2017],,2016,Individual,1st owner,29000,53436,35000
Royal Enfield Bullet 350 [2007-2011],,2001,Individual,2nd owner,4000,,60000
Yamaha FZ V 2.0,,2016,Individual,1st owner,45420,81508,60000
Royal Enfield Classic 350,,2018,Individual,2nd owner,35000,,130000
Honda CB Shine SP,,2017,Individual,1st owner,19800,64750,42000
Bajaj V15,,2018,Individual,1st owner,23000,65626,76000
Hero CBZ,,2014,Individual,1st owner,35000,,40000
Hero Splendor Plus,,2018,Individual,1st owner,7500,,65000
Bajaj Discover 100 T,,2013,Individual,1st owner,20000,47032,20000
Honda CB Hornet 160R,,2016,Individual,1st owner,72000,92661,75000
Honda CB Hornet 160R,,2018,Individual,1st owner,7000,92661,70000
TVS Apache RTR 160 4V,,2019,Individual,1st owner,6000,,105000
Honda CB Shine SP,,2017,Individual,1st owner,34300,62317,50000
Royal Enfield Classic 350,,2017,Individual,1st owner,7199,,120000
Bajaj Pulsar 180,,2011,Individual,1st owner,43000,85011,25000
TVS XL 100,,2017,Individual,1st owner,8000,30490,30000
Hero Super Splendor,,2017,Individual,1st owner,9999,,50000
Hero Honda CBZ extreme,,2007,Individual,1st owner,80000,,25000
Bajaj Pulsar 180,,2014,Individual,1st owner,30000,85011,50000
Bajaj Discover 150,,2015,Individual,1st owner,12000,54299,35000
Bajaj Pulsar 180,,2009,Individual,1st owner,17500,85011,30000
Honda Shine,,2016,Individual,1st owner,45000,,37000
Honda CB Unicorn 150,,2013,Individual,1st owner,38000,74295,42000
Royal Enfield Himalayan,,2016,Individual,1st owner,19800,,119000
Kawasaki Ninja 650 [2018-2019],,2011,Individual,1st owner,12000,589000,300000
Royal Enfield Classic 350,,1993,Individual,2nd owner,10000,,130000
Hero Honda Passion Plus,,2008,Individual,2nd owner,85000,,22000
Hero Honda Splendor Plus,,2007,Individual,1st owner,70000,,15000
Benelli TNT 25,,2017,Individual,1st owner,2009,170994,160000
Royal Enfield Thunderbird 500X,,2018,Individual,1st owner,1500,198605,185000
Royal Enfield Continental GT [2013 - 2018],,2014,Individual,1st owner,12077,208902,110000
KTM RC 200,,2017,Individual,1st owner,20000,,150000
Royal Enfield Bullet 350 [2007-2011],,1995,Individual,3rd owner,20000,,150000
Bajaj Pulsar 220F,,2011,Individual,1st owner,40000,,45000
Bajaj Avenger Street 220,,2018,Individual,1st owner,12000,95955,75000
Honda Activa 125 [2016-2017],,2017,Individual,1st owner,27000,61545,50000
Honda Shine,,2013,Individual,1st owner,93000,,30000
Bajaj Discover 150F,,2015,Individual,1st owner,12000,64071,30000
Bajaj Pulsar 150 [2001-2011],,2011,Individual,1st owner,36000,,22000
Hero Karizma ZMR,,2015,Individual,1st owner,11000,108000,75000
Honda Dream Yuga,,2017,Individual,1st owner,26000,56147,45000
Hero Glamour 125,,2014,Individual,1st owner,450000,61600,35000
Honda Activa [2000-2015],,2012,Individual,1st owner,29000,50267,35000
Bajaj CT 100,,2017,Individual,1st owner,45000,,25000
Honda CB Hornet 160R,,2017,Individual,1st owner,13000,92210,70000
Hero CD Dawn,,2005,Individual,1st owner,48000,,10000
Royal Enfield Classic Gunmetal Grey,,2018,Individual,1st owner,5814,148114,180000
Bajaj Discover 100,,2014,Individual,1st owner,31000,42859,24000
Honda Shine,,2017,Individual,1st owner,25000,,42000
TVS Max DLX,,2002,Individual,2nd owner,28000,,26000
Honda Dio,,2018,Individual,1st owner,11000,,60000
Bajaj Pulsar 180,,2017,Dealer,1st owner,7850,85011,72000
Royal Enfield Thunderbird 350,,2015,Individual,1st owner,10000,,120000
Royal Enfield Thunderbird 350,,2005,Individual,2nd owner,40000,,59000
Royal Enfield Classic Chrome,,2015,Individual,2nd owner,5000,189313,185000
Royal Enfield Classic Gunmetal Grey,,2018,Individual,1st owner,14000,148114,140000
KTM 390 Duke,,2018,Individual,1st owner,7500,,205000
Hero Pleasure [2005-2015],,2013,Individual,1st owner,25000,46779,30000
TVS Victor,,2004,Individual,1st owner,46700,54852,18000
Bajaj Pulsar 150,,2011,Individual,1st owner,12000,,35000
KTM RC 200,,2019,Individual,1st owner,6000,,185000
Kawasaki Ninja 300,,2016,Individual,1st owner,9800,360000,300000
Honda Dream Yuga,,2015,Individual,2nd owner,46070,56147,30000
Bajaj Pulsar 150,,2009,Individual,1st owner,14500,,35000
Bajaj Pulsar 150 [2001-2011],,2008,Individual,1st owner,70000,,35000
Hero Honda Passion Plus,,2008,Dealer,2nd owner,100000,,25000
Yamaha YZF R15 [2011-2018],,2013,Dealer,1st owner,30000,118997,80000
Hero Honda Splendor Plus,,2004,Individual,2nd owner,127000,,20000
Hero Karizma ZMR,,2012,Individual,2nd owner,63000,108000,43000
Hero Honda Splendor Plus,,2010,Individual,2nd owner,30000,,20000
Yo Style,,2011,Individual,1st owner,10000,37675,20000
Hero Splendor iSmart,,2015,Individual,1st owner,10000,52271,40000
Hero Super Splendor,,2011,Individual,1st owner,89000,,30000
Bajaj Discover 100,,2009,Individual,1st owner,50000,42859,21000
Yamaha Fazer [2009-2016],,2011,Individual,1st owner,15500,84751,35000
Bajaj Discover 125,,2011,Individual,1st owner,66000,57549,23000
Hero Super Splendor,,2017,Individual,2nd owner,80000,,40000
Honda Shine,,2011,Individual,1st owner,8600,,40000
Bajaj Discover 125 M,,2014,Individual,1st owner,40000,47186,45000
Bajaj Avenger Street 150 [2018],,2016,Individual,1st owner,25000,80435,60000
Yamaha Fazer [2009-2016],,2013,Individual,1st owner,34500,84751,40000
Hero Passion X Pro [2016-2017],,2016,Individual,1st owner,15500,59095,42000
Honda Activa [2000-2015],,2011,Individual,1st owner,28000,50267,18000
TVS Star City,,2006,Individual,1st owner,40000,46575,15000
Hero Honda Hunk,,2013,Individual,1st owner,40000,,45000
TVS Star City,,2016,Individual,1st owner,50000,47108,25000
Bajaj Pulsar 150,,2017,Individual,1st owner,24000,,70000
Bajaj Discover 100,,2012,Individual,1st owner,50000,42859,23000
TVS Victor,,2005,Individual,1st owner,55000,54852,10000
Hero Honda Splendor Plus,,2012,Individual,1st owner,70000,,25000
Honda Aviator,,2012,Individual,2nd owner,12000,59183,25000
Bajaj Pulsar 180,,2010,Individual,1st owner,70000,85011,50000
Bajaj Avenger [2015],,2015,Individual,2nd owner,16000,75502,60000
Hero CD Dawn,,2014,Individual,1st owner,38000,,35000
Hero Maestro,,2016,Individual,1st owner,100000,49412,50000
Honda CB Shine SP,,2016,Individual,1st owner,45000,64750,50000
Hero Honda CD Deluxe,,2012,Individual,1st owner,28990,,25500
Hero Honda Hunk,,2010,Individual,1st owner,13000,,35000
Hero Honda CD Deluxe,,2005,Individual,1st owner,15000,,20000
Honda Activa 3G,,2016,Individual,1st owner,60000,54605,40000
Bajaj Pulsar 135 LS,,2017,Individual,1st owner,22000,64589,45000
Bajaj Pulsar 150 [2001-2011],,2008,Individual,1st owner,19500,,30000
Hero Pleasure,,2013,Individual,1st owner,25000,49600,30000
Hero Honda CBZ extreme,,2011,Individual,3rd owner,70000,,30000
Bajaj Pulsar 150,,2014,Individual,2nd owner,65000,,40000
Honda CB Twister,,2012,Individual,1st owner,86000,53857,25000
Honda Livo,,2017,Individual,1st owner,30000,,45000
Bajaj Pulsar AS200,,2015,Individual,1st owner,33000,92074,65000
Honda Activa 3G,,2015,Individual,1st owner,36000,54605,40000
Hero Honda Hunk,,2010,Individual,1st owner,41000,,40000
Honda CB Hornet 160R,,2017,Individual,1st owner,28000,83340,70000
Hero HF Deluxe,,2018,Individual,1st owner,15000,,35000
Hero Splendor PRO,,2015,Individual,1st owner,35280,51994,35000
Bajaj Boxer,,2004,Individual,1st owner,18000,,15000
Royal Enfield Electra 5 S,,2012,Individual,1st owner,28000,,99000
Royal Enfield Electra 5 S,,2012,Individual,1st owner,40000,,90000
Hero Honda Hunk,,2010,Individual,1st owner,17000,,20000
Hero Ignitor,,2016,Individual,1st owner,23000,65599,36000
Bajaj Discover 100 M,,2014,Individual,1st owner,30000,44756,32000
Honda Activa 3G,,2016,Individual,1st owner,6000,54605,50000
Bajaj Pulsar 135 LS,,2015,Individual,1st owner,48000,64589,50000
Bajaj Pulsar 220 DTS-i,,2014,Individual,1st owner,16000,,60000
Hero Honda CBZ extreme,,2009,Individual,1st owner,50000,,40000
Hero Honda CBZ extreme,,2012,Individual,1st owner,60000,,35000
Royal Enfield Thunder 500,,2018,Individual,1st owner,3000,190000,175000
UM Renegade Mojave,,2019,Individual,1st owner,1400,182000,170000
KTM RC200,,2019,Individual,1st owner,4000,178000,165000
Bajaj Dominar 400,,2019,Individual,1st owner,1200,160000,145000
Royal Enfield Classic 350,,2019,Individual,1st owner,4100,147000,135000
KTM RC390,,2017,Individual,1st owner,21700,237000,135000
Hyosung GT250R,,2016,Individual,2nd owner,16500,345000,135000
Royal Enfield Thunder 350,,2015,Individual,1st owner,15000,150000,125000
Royal Enfield Thunder 350,,2018,Individual,1st owner,18000,150000,120000
Royal Enfield Classic 350,,2019,Individual,1st owner,11000,147000,120000
KTM RC200,,2018,Individual,1st owner,6000,178000,120000
Royal Enfield Thunder 350,,2018,Individual,1st owner,8700,150000,115000
KTM 390 Duke ,,2016,Individual,1st owner,7000,240000,115000
Mahindra Mojo XT300,,2018,Individual,1st owner,35000,140000,115000
Royal Enfield Classic 350,,2017,Individual,1st owner,17000,147000,115000
Royal Enfield Classic 350,,2017,Individual,1st owner,17500,147000,111000
Royal Enfield Classic 350,,2015,Individual,1st owner,33000,147000,110000
Royal Enfield Thunder 500,,2017,Individual,1st owner,14000,190000,110000
Royal Enfield Classic 350,,2017,Individual,1st owner,26000,147000,110000
Royal Enfield Thunder 500,,2015,Individual,1st owner,5400,190000,105000
Bajaj Pulsar RS200,,2018,Individual,1st owner,5700,126000,105000
Royal Enfield Thunder 350,,2013,Individual,1st owner,6900,150000,105000
Royal Enfield Bullet 350,,2018,Individual,1st owner,6000,117000,105000
Royal Enfield Classic 350,,2015,Individual,1st owner,46500,147000,100000
Royal Enfield Classic 500,,2014,Individual,1st owner,11500,175000,95000
Royal Enfield Classic 500,,2011,Individual,1st owner,40000,175000,90000
Bajaj Avenger 220,,2019,Individual,1st owner,1300,95000,90000
Bajaj Avenger 150,,2018,Individual,1st owner,7000,80000,75000
Honda CB Hornet 160R,,2019,Individual,1st owner,3000,87000,80000
Yamaha FZ S V 2.0,,2019,Individual,1st owner,5000,84000,78000
Honda CB Hornet 160R,,2019,Individual,1st owner,11000,87000,75000
Yamaha FZ 16,,2017,Individual,1st owner,18000,82000,75000
Bajaj Avenger 220,,2019,Individual,1st owner,3500,95000,75000
Bajaj Avenger 220,,2018,Individual,1st owner,500,95000,72000
TVS Apache RTR 160,,2019,Individual,1st owner,11800,81000,65000
Bajaj Pulsar 150,,2017,Individual,1st owner,5000,74000,65000
Honda CBR 150,,2016,Individual,1st owner,23500,120000,65000
Hero Extreme,,2015,Individual,1st owner,16000,78700,65000
Honda CB Hornet 160R,,2018,Individual,1st owner,15000,87000,60000
Bajaj Avenger 220 dtsi,,2017,Individual,1st owner,16600,95000,60000
Honda CBR 150,,2015,Individual,1st owner,32000,120000,60000
Bajaj Avenger 150 street,,2018,Individual,1st owner,20000,80000,60000
Yamaha FZ  v 2.0,,2017,Individual,1st owner,29000,84000,60000
Yamaha FZ  v 2.0,,2018,Individual,1st owner,25000,84000,60000
Bajaj Pulsar  NS 200,,2016,Individual,1st owner,25000,99000,60000
TVS Apache RTR 160,,2014,Individual,1st owner,19000,81000,60000
Hero Extreme,,2016,Individual,1st owner,15000,78700,55000
Yamaha FZ S V 2.0,,2017,Individual,1st owner,58000,84000,55000
Bajaj Pulsar 220 F,,2012,Individual,1st owner,45000,94000,52000
Bajaj Pulsar 220 F,,2018,Individual,1st owner,24000,94000,51000
TVS Apache RTR 180,,2013,Individual,1st owner,6000,82600,50000
Hero Passion X pro,,2018,Individual,1st owner,31000,55000,50000
Bajaj Pulsar NS 200,,2014,Individual,1st owner,13000,99000,50000
Bajaj Pulsar NS 200,,2015,Individual,1st owner,45000,99000,50000
Yamaha Fazer ,,2016,Individual,1st owner,8000,88000,50000
Honda Activa 4G,,2019,Individual,1st owner,4300,51000,48000
TVS Sport ,,2019,Individual,1st owner,15000,52000,48000
Yamaha FZ S V 2.0,,2017,Individual,1st owner,23000,84000,48000
Honda Dream Yuga ,,2019,Individual,1st owner,8600,54000,48000
Honda Activa 4G,,2019,Individual,1st owner,4000,51000,45000
Bajaj Avenger Street 220,,2013,Individual,1st owner,24000,95000,45000
TVS Apache RTR 180,,2016,Individual,1st owner,23000,82600,45000
Bajaj Pulsar NS 200,,2014,Individual,1st owner,14500,99000,45000
Bajaj Avenger 220 dtsi,,2012,Individual,1st owner,27000,95000,45000
Hero Splender iSmart,,2018,Individual,1st owner,14000,54000,45000
Activa 3g,,2018,Individual,1st owner,500,54000,45000
Hero Passion Pro,,2018,Individual,1st owner,1000,55000,45000
TVS Apache RTR 160,,2016,Individual,1st owner,42000,81000,42000
Honda CB Trigger,,2015,Individual,1st owner,12000,73000,42000
Hero Splender iSmart,,2017,Individual,1st owner,14000,54000,40000
Yamaha FZ S ,,2014,Individual,1st owner,5500,83000,40000
Hero Passion Pro,,2017,Individual,1st owner,6700,55000,40000
Bajaj Pulsar 135 LS,,2016,Individual,1st owner,13700,64000,40000
Activa 4g,,2019,Individual,1st owner,1300,51000,40000
Honda CB Unicorn,,2017,Individual,1st owner,38600,72000,38000
Hero Honda CBZ extreme,,2013,Individual,1st owner,75000,78700,38000
Honda Karizma,,2013,Individual,1st owner,30000,105000,35000
Honda Activa 125,,2018,Individual,1st owner,24000,57000,35000
TVS Jupyter,,2016,Individual,1st owner,19000,52000,35000
Honda Karizma,,2012,Individual,1st owner,213000,105000,31000
Hero Honda Passion Pro,,2014,Individual,1st owner,60000,51000,30000
Hero Splender Plus,,2018,Individual,1st owner,50000,48000,30000
Honda CB Shine,,2015,Individual,1st owner,30000,58000,30000
Bajaj Discover 100,,2015,Individual,1st owner,21000,47000,27000
Bajaj Pulsar 150,,2010,Individual,2nd owner,26000,75000,25000
Suzuki Access 125,,2010,Individual,1st owner,1900,58000,25000
TVS Wego,,2012,Individual,1st owner,22000,52000,25000
Honda CB twister,,2015,Individual,1st owner,32000,51000,25000
Hero Glamour,,2015,Individual,1st owner,18000,57000,25000
Hero Super Splendor,,2007,Individual,1st owner,55000,57000,20000
Bajaj Pulsar 150,,2010,Individual,1st owner,60000,75000,20000
Bajaj Discover 125,,2014,Individual,2nd owner,25000,57000,20000
Hero Hunk,,2009,Individual,2nd owner,49000,75000,20000
Hero  Ignitor Disc,,2015,Individual,2nd owner,24000,65000,20000
Hero  CBZ Xtreme,,2010,Individual,1st owner,50000,78700,20000
Bajaj  ct 100,,2017,Individual,1st owner,35000,32000,18000
Activa 3g,,2010,Individual,1st owner,500000,52000,17000
Honda CB twister,,2012,Individual,1st owner,33000,51000,16000
Bajaj Discover 125,,2013,Individual,2nd owner,35000,57000,15000
Honda CB Shine,,2009,Individual,1st owner,53000,58000,12000
Bajaj Pulsar 150,,2008,Individual,1st owner,92233,75000,10000
